task_key,task,dataset,model_name,protocol,runs,mean,std,se,ci95,min,max,normality_shapiro_p,source_csv
cifar100_efficientnet_b0,CIFAR-100 + EfficientNet-B0,cifar100,efficientnet_b0,adaptive_sat_aware_ste_lr0p001,5,0.6136199999999999,0.0016724233913695409,0.0007479304780526057,0.001465943736983107,0.6109,0.6152,0.4052531914841104,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_efficientnet_b0_adaptive_sat_aware_ste_lr0p001_twostage_noise_eval_repeats.csv
cifar100_efficientnet_b0,CIFAR-100 + EfficientNet-B0,cifar100,efficientnet_b0,clean120,5,0.27764,0.005720402083769977,0.002558241583588223,0.005014153503832917,0.2711,0.2858,0.7602651197601713,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_efficientnet_b0_clean120_noise_eval_repeats.csv
cifar100_efficientnet_b0,CIFAR-100 + EfficientNet-B0,cifar100,efficientnet_b0,noise_lr0p001,5,0.4892,0.0037702785043017663,0.0016861198059449965,0.003304794819652193,0.4858,0.495,0.44284223852150056,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_efficientnet_b0_noise_lr0p001_twostage_noise_eval_repeats.csv
cifar100_efficientnet_b0,CIFAR-100 + EfficientNet-B0,cifar100,efficientnet_b0,sat_aware_ste_lr0p001,5,0.61486,0.004023431371354556,0.0017993332098307972,0.0035266930912683622,0.6099,0.6199,0.6713924262365876,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_efficientnet_b0_sat_aware_ste_lr0p001_twostage_noise_eval_repeats.csv
cifar100_efficientnet_b0,CIFAR-100 + EfficientNet-B0,cifar100,efficientnet_b0,ste_lr0p001,5,0.61602,0.0036785866851278366,0.0016451139778142915,0.003224423396516011,0.6115,0.6194,0.13682110692324917,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_efficientnet_b0_ste_lr0p001_twostage_noise_eval_repeats.csv
cifar100_resnet18,CIFAR-100 + ResNet18,cifar100,resnet18,adaptive_sat_aware_ste_earlybest,5,0.69276,0.003748066168039167,0.0016761861471805454,0.003285324848473869,0.6882,0.6978,0.9628000244147508,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_resnet18_adaptive_sat_aware_ste_earlybest_noise_eval_repeats.csv
cifar100_resnet18,CIFAR-100 + ResNet18,cifar100,resnet18,adaptive_sat_aware_ste_lr0p001,5,0.6996,0.003715508040631842,0.0016616257099599696,0.0032567863915215407,0.6951,0.7037,0.5925622865140585,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_resnet18_adaptive_sat_aware_ste_lr0p001_twostage_noise_eval_repeats.csv
cifar100_resnet18,CIFAR-100 + ResNet18,cifar100,resnet18,clean120,5,0.62976,0.005977708591090747,0.0026733125518726805,0.005239692601670454,0.624,0.6378,0.4791202604839334,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_resnet18_clean120_noise_eval_repeats.csv
cifar100_resnet18,CIFAR-100 + ResNet18,cifar100,resnet18,noise_lr0p001,5,0.63202,0.00623754759500876,0.0027895160870659826,0.005467451530649326,0.6267,0.6426,0.1565445825961701,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_resnet18_noise_lr0p001_twostage_noise_eval_repeats.csv
cifar100_resnet18,CIFAR-100 + ResNet18,cifar100,resnet18,sat_aware_ste,5,0.69318,0.003238363784382466,0.001448240311550533,0.0028385510106390447,0.6902,0.6977,0.40820278343840405,/home/kylinsu/worksapce/imc_ste_challenge/runs/cifar100_resnet18_sat_aware_ste_twostage_noise_eval_repeats.csv
