trial,checkpoint,training_or_eval_setting,scope,accuracy,examples,output,conclusion
direct_target2,runs/1783584188_tinyimagenet_clean_seed1_best.pt,activation_target=2;single_read,20b,0.04219,1280,runs/tinyimagenet_efficientnet_b0_clean_activation_target2_20b.csv,forward-only improvement but insufficient
direct_target3,runs/1783584188_tinyimagenet_clean_seed1_best.pt,activation_target=3;single_read,20b,0.04375,1280,runs/tinyimagenet_efficientnet_b0_clean_activation_target3_20b.csv,forward-only improvement but insufficient
direct_target4,runs/1783584188_tinyimagenet_clean_seed1_best.pt,activation_target=4;single_read,20b,0.04688,1280,runs/tinyimagenet_efficientnet_b0_clean_activation_target4_20b.csv,best direct preconditioning target
direct_target5,runs/1783584188_tinyimagenet_clean_seed1_best.pt,activation_target=5;single_read,20b,0.03516,1280,runs/tinyimagenet_efficientnet_b0_clean_activation_target5_20b.csv,below target4
direct_target8,runs/1783584188_tinyimagenet_clean_seed1_best.pt,activation_target=8;single_read,20b,0.01172,1280,runs/tinyimagenet_efficientnet_b0_clean_activation_target8_20b.csv,below target4
backward_only_variance,runs/1783731758_tinyimagenet_variance_aware_ste_seed50_best.pt,no_activation;variance_bias_confidence;p/d_read8,20b,0.41953,1280,runs/tinyimagenet_efficientnet_b0_variance_aware_seed50_pdw_read8_20b.csv,did_not_beat_old_0.42266_pilot
activation_variance_ste,runs/1783732051_tinyimagenet_variance_aware_ste_seed51_best.pt,activation_target=4;variance_aware;p/d_read8,20b,0.74453,1280,runs/tinyimagenet_efficientnet_b0_variance_activation_seed51_pdw_read8_20b.csv,strong_gain
activation_variance_sat_ste,runs/1783732243_tinyimagenet_variance_sat_aware_ste_seed52_best.pt,activation_target=4;variance_sat_aware;p/d_read8,20b,0.74297,1280,runs/tinyimagenet_efficientnet_b0_variance_sat_activation_seed52_pdw_read8_20b.csv,no_incremental_gain
activation_plain_ste_50b,runs/1783732447_tinyimagenet_ste_seed53_best.pt,activation_target=4;plain_ste;p/d_read8,20b,0.74453,1280,runs/tinyimagenet_efficientnet_b0_activation_ste_seed53_pdw_read8_20b.csv,matches_variance_variant_with_simpler_backward
activation_plain_ste_extended,runs/1783732669_tinyimagenet_ste_seed54_best.pt,activation_target=4;plain_ste;p/d_read8,20b,0.75078,1280,runs/tinyimagenet_efficientnet_b0_activation_ste_seed54_initial_pdw_read8_20b.csv,best_pilot
recalibrated_activation_stats,runs/1783732669_tinyimagenet_ste_seed54_best.pt,reprofiled_stats;activation_target=4;p/d_read8,20b,0.71406,1280,runs/tinyimagenet_efficientnet_b0_activation_ste_seed54_recalibrated_pdw_read8_20b.csv,over_scales_and_hurts
activation_target3_after_training,runs/1783732669_tinyimagenet_ste_seed54_best.pt,activation_target=3;p/d_read8,20b,0.73359,1280,runs/tinyimagenet_efficientnet_b0_activation_ste_seed54_target3_20b.csv,below_target4
activation_target5_after_training,runs/1783732669_tinyimagenet_ste_seed54_best.pt,activation_target=5;p/d_read8,20b,0.73359,1280,runs/tinyimagenet_efficientnet_b0_activation_ste_seed54_target5_20b.csv,below_target4
activation_target4_read16,runs/1783732669_tinyimagenet_ste_seed54_best.pt,activation_target=4;p/d_read16,20b,0.74766,1280,runs/tinyimagenet_efficientnet_b0_activation_ste_seed54_target4_read16_20b.csv,read16_does_not_beat_read8
activation_pdw_linear_read8,runs/1783732669_tinyimagenet_ste_seed54_best.pt,activation_target=4;p/d/linear_read8,20b,0.73750,1280,runs/tinyimagenet_efficientnet_b0_activation_ste_seed54_pdw_linear_read8_20b.csv,linear_multiread_hurts
read8_aligned_finetune,runs/1783733906_tinyimagenet_ste_seed55_best.pt,activation_target=4;p/d_read8_training,20b,0.74063,1280,runs/1783733906_tinyimagenet_ste_seed55.jsonl,very_expensive_and_below_read4_training
activation_plain_ste_fullval,runs/1783732669_tinyimagenet_ste_seed54_best.pt,activation_target=4;p/d_read8,full,0.76120,10000,runs/tinyimagenet_efficientnet_b0_activation_preconditioned_ste_seed54_pdw_read8_fullval.csv,current_best_strict_uniform_result
