tool,trial,status,rows,inner,cols,snr_db,relative_l2,mean_abs_error,error
local_noisy_matmul,1,ok,32,64,48,7.286387194036859,0.4321958184510507,1.9794974327087402,
local_noisy_matmul,2,ok,32,64,48,7.067190871082293,0.44324150355269415,1.949851155281067,
local_noisy_matmul,3,ok,32,64,48,7.068117941495659,0.44319419479433236,2.076899528503418,
local_noisy_matmul,4,ok,32,64,48,7.021373718945338,0.4455858501696693,2.164618968963623,
local_noisy_matmul,5,ok,32,64,48,7.549417353450753,0.419304148679513,1.9224729537963867,
memintelli,1,ok,32,64,48,16.311359031423773,0.15290865138068474,0.9556233286857605,
memintelli,2,ok,32,64,48,15.478211641651729,0.16830204372232907,1.0419827699661255,
memintelli,3,ok,32,64,48,16.224862492748557,0.15443896259004883,1.0058296918869019,
memintelli,4,ok,32,64,48,15.216038630296955,0.17345949561616375,1.0798678398132324,
memintelli,5,ok,32,64,48,16.054534264807486,0.15749735693420147,0.9893458485603333,
mpimpy,1,ok,32,64,48,4.446115190662858,0.5993689094660674,2.496632589866032,
mpimpy,2,ok,32,64,48,4.979708822902215,0.5636565557143162,2.478065899042106,
mpimpy,3,ok,32,64,48,4.466190438638091,0.5979852565431726,2.6519162060230985,
mpimpy,4,ok,32,64,48,4.574669575269249,0.5905633981412753,2.46699404345349,
mpimpy,5,ok,32,64,48,4.693076639439524,0.5825673707723641,2.539814508653451,
